Title,Stars,Thoughts:,Date,Username,Verified Purchase ?,Thumbs up,Thumbs down
Perfect skin,5,"Wow!  I have always had “good” skin no acne growing up, and combination skin slightly oily nose and dry everywhere else.  I’m 44 and have entered the stage where I’m thinking about Botox, but am terrified of the scared 😳 look.  This serum is amazing and has really done a lot for my skin.  I use nightly after cleansing and toning, and then apply and let it dry as I find it pills if I apply another serum or retinol/ tret right away.  It is an excellent combination with tret or ret and I apply this after TNS dries.  It is expensive but a little goes a long way and it firms, tones, reduces wrinkles, pores, and gives skin a general glow.  I love it and will continue to purchase.  You will notice improvement right away, and with consistent use it gets better.  ",5/12/23,stephanie,True,1,0
Post procedure care,4,"I use this, combined with Alastin’s Skin Nectar, after laser and Microneedling procedures. Helps stimulate enhanced collagen production via growth factors. However, it’s very pricy.",5/11/23,Kelly,True,0,0
Great product,5,Love this product and produces great results!,5/10/23,Joy,True,1,0
Worth every penny,5,"The quality of this serum is worth the price. It glides on easily and my skin loves me for it. I get compliments daily on how bright my skin looks, and for a 51 year old, I'll take all I can get!",5/10/23,Amanda,True,0,0
Serums are Tricky,4,"I’ve tried very expensive serums that have caused burn-like reactions with my skin, so I approached this serum with some trepidation.  I don’t think I’ve been using it long enough to see real results, but I have not had again negative reactions so far.  My plan is to keep using it in regimen with other SkinMedica products for at least four months.  ",5/7/23,Meg,True,0,0
Simply amazing!,5,My skin is glowing! No harsh  smell at all. Worth the money.,5/7/23,lindsay,True,0,0
Must have for anti-aging,5,"This product is a must have for anti aging. It’s expensive, but it’s the best available on the market, medical grade skincare. I’ve used it for about 6 months and I’ve never gotten so many compliments on my skin. ",5/2/23,Nikki,True,0,0
Insanely good,5,This serum is insanely good. It goes on smooth and makes my face feel so silky smooth. I have noticed my face looks more clear and rejuvenated.,5/2/23,Shellie,True,1,0
Love this product!,5,I’ve been using this for past year and have noticed significant improvement in my skin’s glow and plumpness. I’m almost 50 years of age and have sensitive skin.  This does not irritate me at all. Highly recommend it. ,5/2/23,Patti,True,0,0
Tightened my skin in 2 weeks,5,My friend and I love this serum. I use it day and night. I had one eyebrow higher than the other and Botox didn’t help. One side had more flexibility than the other and I had “moving” eyebrow. After just two weeks it evened out my eyebrows. I cannot explain it but somehow this serum managed to tighten my skin above my right eyebrow and now they are even. ,4/28/23,Ania,True,0,0
Firmer skin,5,"I absolutely love what this has done for my skin. It’s a splurge but my skin is tighter and firmer than before, I won’t go without this now.",4/23/23,Emily,True,0,0
Worth it!,5,Definitely a splurge for me…but so worth it! Love what this has done for my skin. ,4/22/23,Jane,True,0,0
SkinMedica TNS Advanced+Serum,5,I can definitely tell the difference since I began using this serum.  The fine lines are not as noticeable.   I will continue.,4/20/23,BRENDA,True,0,0
Face feels smother,5,"So far I been on this serum for 2 weeks so is too early to tell results but i do feel my face feels smoother when i apply it.I've read how important petides are for the face along with VitC,hydraulic acid and retinol for an aging face.",4/18/23,Evandro,True,0,0
Nice product,4,"I use this once a day every night. I do not see an improvement yet, but they say that you should start seeing an improvement after like 4-6 weeks. I especially like using it after I have had micro needling or something !",4/15/23,Dana,True,0,0
Tari,5,I love this serum!  Saw results within about two weeks.  It’s pricey but so worth it!,4/12/23,Tari,True,0,0
Still deciding,3,"My skin is tricky, and I am still on the fence about this. I tried it after seeing very positive reviews, but I have not experienced those results. But, I am realistic that many things may impact the results, so I will keep using it. I'm sure I will eventually figure out the right ""cocktail"" blend of cleanser, serum, and other products.",4/11/23,ElleSTee,True,1,0
Great Product,5,This was my first purchase from SkinMedica and my second time trying a peptide/growth factor serum in my skincare routine. I have noticed great results in my skin and neck over the past few months. The price is pretty steep but it’s truly one of the best on the market. Will continue to repurchase.,4/10/23,Allie,True,1,0
Worth every cent!,5,"I am 51 years old. I started using this a year ago and my skin looks refreshed, vibrant, clean. I have had only positive experiences with this. The only downside is the packaging which seems wasteful for only 1 oz of product, and of course, the price is really high but if you can swing it, it's worth every cent.",4/10/23,VictoriaB,True,0,0
SkinMedica TNS is fantastic,5,"My esthetician recommended this product from SkinMedica. I’ve used other products from this line, but this is my absolute favorite! The TNS Advanced+ formula delivers its ingredients via two chambers, each of which houses a unique component of the formula.  I noticed visible improvement in my skin within 2 weeks. Love this product.",4/8/23,Maryanne,True,0,0
Excellent Product,5,I have been using this product for a few years and love it. It was recommended by my aesthetician . I love how it nurtures your skin & helps with deep wrinkles & keeps an even tone to your skin. The only downside is that its very expensive.,4/7/23,Joanne,True,0,0
Worth it!,5,"I usually never spend this much on a single product, but this one is worth it. I have combination acne-prone skin that is also pretty sensitive and this has done wonders. It has really helped soothe any inflammation and helps breakouts resolve more quickly. After 3 months of regular use, I can also say my crows feet and forehead wrinkles are a lot less noticeable! ",4/6/23,Jaclyn,True,3,0
GREAT SERUM,5,I love this product. It goes on smooth and feels very good. I have been using this since it came out and can really see the difference. My face is smoother and wrinkles decreased. I will always use this product,4/5/23,Robert,True,0,0
SkinMedica Tops it All,5,"I have tried many different products and I found that SkinMedica is the product that delivers exactly what it says it will do. At first it seemed pricey, but you always get what you pay for! My skin is smooth and all of the little lines are barely noticeable. I use many of the SkinMedica products because they seem to work better together in all the different areas that they are designed for.",4/5/23,Teresa,True,0,0
Luxurious Serum to add to routine,4,This is my first time using a growth serum in my skincare routine. I like how moisturizing it is and it layers well with a vitamin C serum. The price is very high for the amount of product so I need to limit use to once per day in the mornings. I wish the product was more affordable to be able to use mornings and nights.,4/4/23,CKCK,True,0,0
New Formula Review,4,I use the original formulation of this product for many many years with great success. I recently switched over to this formulation based on the fact that it’s supposed to have more active ingredients in it… To be honest so far I like the original formulation better. I feel like I see visible results in my skin when I use it,4/4/23,Lisa,True,1,0
SkinMedica TNS advanced serum is fantastic!,5,"I just love the fact that this serum contains all the ingredients to have the best skin.  I hate having to have multiple bottles to layer and layer over.  This one product does it all.  Y skin is softer and smoother.    I use daily under  my moisturizer and I have noticed the biggest change in my skin after starting skinmedica products.  It’s pricey, but worth it. ",4/3/23,Angie,True,0,0
TNS Serum,5,"I love this advanced serum. It is light and smooth and goes on easily. I use it both night and day , combining and layering with other Skin Ceuticals. ",4/3/23,Kay,True,0,0
Two Word Review,5,It Works I love this product. I see a huge improvement in my skin. On top of that it also makes my skin feel silky and the light sent is wonderful.,4/1/23,kelly,True,1,0
Very good choice,4,"At first I thought this was just OK, but after using it faithfully for 3 weeks, 2X a day I realized that there were changes. I passed a mirror and thought, wow, my face looks lifted! I am happy and will continue to use it under my moisturizer.",3/31/23,Mary,True,0,0
Awesome Product,5,"I’ve been using this Serum for several years, beginning with purchasing at my doctor’s office.  I experienced a notable difference in just a few weeks, which amazed me because my skin was in pretty good shape for my age. Be always used quality products and used SPF.  However, I had just turned 60 at the time and I was starting to see more sagging and wrinkling and signs of age & sun damage.  After a few weeks, things were slightly tighter, denser, more even and overall more healthy looking.  Since then, the aging process of my skin has slowed significantly.  Highly recommend TNS Advanced, it’s worth every penny!",3/31/23,Beth,True,0,0
Holy Grail Serum,5,No other serum compares! It has truly been a game changer in my skincare routine. My skin simply looks more radiant and supple since I started using this magic elixir!,3/31/23,Margie,True,0,0
Best Purchase,5,"This has been one of the best skincare purchases I’ve ever made. Within two weeks, I could tell a very noticeable difference in the firmness of my skin! This is a product. I will never be without now.",3/31/23,Amanda,True,0,0
Tns,3,I thought this would help moisturize better. Have not noticed results,3/31/23,Ute,True,0,0
"Great product, bad dispenser design",3,"I love the changes in my skin with this product and have been using for a year. The dual pump system works inconsistently from order to order. Most recent did not dispense the clear portion at all. I broke the container open and the chamber with white serum was empty while the clear one was full. As expensive as this is, this should work perfectly each time. ",3/29/23,Carol,True,0,0
My go to serum,5,Love this product. I ran out and went a month without it. After two days of using it again I noticed a high difference in the texture of my skin. Really makes me look “fresh.” ,3/25/23,Amy,True,0,0
Love it!,5,Keeps me from having to get Botox just yet!,3/21/23,Halie,True,0,0
Love,5,This is the holy grail of skincare. Love the results. ,3/21/23,JV,True,0,0
Helps reduce wrinkles!,5,I’ve been using this serum for years.  I am 61 years old but this serum has taken years off me.  I put it on after I wash my face and face is still moist.  This way I don’t overuse the product since it melts in very easily when face is slightly wet. ,3/19/23,Penny,True,0,0
TNS OG,5,Have heard such great things. Supposed to be great. Have been a little afraid to start using but I need to go ahead and try more. No breakout so far. ,3/18/23,Elizabeth,True,0,0
Texture,5,Since using this product I’ve noticed a change in my texture and friends/family have too! I can’t go without it morning and night!,3/17/23,Courtney,True,0,0
Glad I Tried It Finally!,5,"I have been through a *few* skincare routines and products from dermatologist sold brands. Had good results, but just kept hearing about this TNS. I wanted to simplify my routine, so I jumped in, spent the money, and gave it a try.  So glad I did!  The hype is real. My skin is firmer and reduced fine lines on my forehead for sure. I. have seen results with consistent use. On my second bottle and plan to continue! ",3/15/23,M Price,True,0,0
love this product but....,1,"this is very expensive and my second time purchasing and the bottles do not work. Meant to come out in two streams, one clear and one white, only. the clear comes out and this makes the product useless",3/11/23,JoAnne,True,0,1
Amazing product!,5,I purchased this product to target my sagging jowl. I cannot believe how wonderful this product is. My jaw line is lifted and well defined. It also minimized the lines around my mouth. I highly recommend this product. ,3/11/23,Lydia,True,0,0
Want to love it,4,"Love the texture, but for the price I'm not seeing the promised results. See better results with less expensive actives.",3/10/23,Jennifer,True,0,0
Meh,3,"For the price, I'm not seeing significant enough results.",3/5/23,Elizabeth,True,2,1
Inconsistent pump/doesn’t get product out,2,"I love the basic TNS serum, so I thought I would love this more advanced product too. I DO love it when the pump actually works. Consistency and absorbency is great.   However, the pump does not work and the clear serum side is clogged most of the time. Maybe 1 in six pumps to I get the clear serum. I saw that in the reviews but decided to try it anyway. I am going back to the regular formula.  This is a disappointment and I never write bad reviews. I just wanted to add my voice to the warnings I wish I hadn’t ignored. ",3/4/23,Sonya,True,2,0
Need more time,4,"I've been using this for about a month and haven't seen a remarkable difference, though I'm invested in using it for another month or two. Layers nicely with other serums/products.",3/4/23,Liz,True,0,0
Wanted to love it.,1,"Just not impressed with this product. It certainly hasn't evened out my skin tone and I feel like it dries out my skin. No noticeable improvement after a month with wrinkles or fine lines. For the cost I definitely would not purchase again. After reading all the reviews, I was hopeful I really wanted this to work ... but this is just not working for me.",3/3/23,Patty,True,1,0
Not sure,5,"This was recommended to me by my dermatologist, but I didn’t see any drastic changes.",3/2/23,Alissa,False,0,0
Unsure,3,"I’m not sure if I can tell a difference at all with this. It feels smooth and nice, but it is SO expensive and the way I’ve heard it be hyped up, I was expecting to notice more of anything. ",3/1/23,Alexa,True,0,0
Great aerum,5,Have noticed quite a difference since using this product. My shin is much better hydrated and blemish free.,2/20/23,Lynn,True,2,0
SkinMedica TNS Advanced Serum,5,I purchased this from Dermstore after reading reviews in a magazine about various skincare products. I then visited my dermatologist for a health checkup and saw that their spa used the Skinmedica line. I thought I would then give this a try. I am on my second bottle and I can tell you that this is moisturizing and I do see improvement in some of my facial lines. I also receive compliments from people telling me I look rested and my skin looks healthy. I have been diligent about applying twice a day. One bottle last me approximately 3 months. Worth the money.,2/19/23,Lisa,True,1,0
Obsessed!,5,"I was already using/loving SkinMedica & several of my favorite products are in the TNS line. This is my first time using the TNS Advanced+ Serum & I love it! It’s been a couple of weeks now & I continue to use as directed in combination w/ my HA5 & I'm hooked. My skin is visibly more hydrated, plumper, more even & brighter.  Totally worth it & I highly recommend. ",2/15/23,Jas,True,0,0
Pricey but bit the bullet,5,"My aesthetician recommended this for me. If you buy it on recurring order, it's much easier to afford, and you can adjust your next shipment to work with your needs, so doesn't make sense not to. I am seeing nice results in just a couple weeks, and can't wait to see in a few months. For those who have trouble with the dual chamber pump, in order to ensure that it is coming out of both chambers evenly, pump slowly to gauge the dispensing and tilt it more to the side it may not be coming out of to get both to dispense evenly..very simple and not always necessary.",2/15/23,Suzi,True,1,0
Good Skin Improvement,4,"I have searched for products that target lines and wrinkles and provide an overall refresh for  mature skin.  Since using this product I notice a more youthful appearance and a decrease in visibility of lines and wrinkles. However, I do not like the packing.   I find with this type of container and others that do not allow you to directly access product, there is often product left in the container that one cannot access. This a problem for expensive products such as this one.",2/14/23,Diane,True,2,0
Smoother skin,5,"Since using this product, I have noticed that my skin is smoother and tighter. The serum is also very soothing.",2/13/23,Sam,True,0,0
Wonderful product except...,4,I would have given this 5 stars for the product itself but there are 2 pumps for different components of the product and one of the components is depleted quite a bit longer before the 2nd one. I don't know if they are both necessary in combination for the desired effects but that's the problem with this pump.,2/13/23,PATRICIA,True,2,0
Simply the Best,5,"I've tried many serums through the years, but this one stands out! Even though it's a little pricey, I highly recommend spending the money as this product actually works!",2/13/23,Allison,True,0,0
Great serum,5,This is a great serum!  Been using it for years and love how it makes my faces feel! ,2/12/23,Cecilia,True,0,0
Prefer the Old formulation,4,"I really miss the old formula, which also contained vitamin C. It left my skin with a beautiful glow. This doesn’t make my skin glow after application, but I still like it’s anti-aging benefits. ",2/9/23,Srr1111,True,1,0
Disappointed,1,"I really do not know if this works or not. There are two pumps and I’m supposed to mix product together before applying. The issue is one of the pumps doesn’t let out any product. At this prices point, I expect to have NO issues, especially with packaging. ",2/8/23,Evelyn,True,6,0
My Favorite Serum,5,"Every time I take a break from using this serum, I wonder why. It's pricy, but the price feels justified for how it keeps my skin looking healthy, plump, and youthful.",2/6/23,KBD817,True,1,0
Game Changer!,5,"The SkinMedica TNS Advanced + Serum is a game changer! I have been using this for the past year and it has made a wonderful, positive difference. Yes, it's pricey, but worth every penny.",1/26/23,Elaine,True,0,0
Pump doesn’t work,1,"The pump doesn’t work, not sure if the actual product works.",1/23/23,Sandra,True,3,0
Not working,1,The pump simply doesn’t work. I can’t tell if the product works until I can get it to “pump” out,1/23/23,Sandra,True,2,0
Holy grail,5,My derm recommended this product but I was hesitant bc of the price tag. I’m so glad I pulled the trigger bc I’ve seen noticeable differences in my skin. This product really works for me and I’m on my second bottle. ,1/22/23,Ariel,True,0,0
OBSESSED,5,This is a staple in my routine day and night! Used as my first step after cleansing and toning it helps smooth fine lines and make my skin so glowy!,1/19/23,Aubrey,False,0,0
Hated this product,1,"I don’t say this often, but I hated this product. Bad smell, terrible sticky texture, zero results. I had to use a safety pin and work for 3 minutes to unclog the two holes every time I used it. Would come out as a dried blob then product. Or one of the two products wouldn’t come out and the mix would be off. Such a waste of money. My aesthetician agreed. Not good. ",1/18/23,Amanda,False,3,1
Ordered my second one!,5,I have been using this serum now for about a month and there is a subtle but beautiful and real difference in my skin firmness and appearance. I change up my routine from time to time with something new to assess for a better product and this is one. I'll be using this for a long time. I snatched it up with the 20% off special and some rewards points.,1/18/23,PATRICIA,True,0,0
TNS Serum,5,Love this product! My all time favorite product.,1/15/23,Julie,True,0,0
Best Serum Ever,5,This serum really works.  I love the dual pump with all of the nutrients.  My skin looks so much better after 3 weeks.  Worth every penny!  Remember to store upside down!,1/14/23,Cheryl,True,1,0
Nothing major yet,3,"Not quite into a full month of using the product so I don’t see any real results yet. I’m hoping it will help soften my 11 lines between my brows. Overall I do like how it makes my face feel tighter once applied. No smell, no irritation, absorbs quickly. ",1/13/23,Lindsay,True,0,0
Waiting,4,I’m in my 40s… I’ve used this before… and decided to try this again. I’m waiting for results,1/12/23,Mahima,True,0,1
Not for me,2,"I have used the older formula of TNS serum with no issues. I found this formula to be extremely drying/irritating on my skin but I do have very sensitive skin to begin with. Also, the first few times I used the pump it was only dispersing out of one side, like many other reviewers have stated. I returned the product.",1/11/23,jessica,True,1,0
This is my third bottle and it is my all-time favorite skin care product,5,"I should shout this from the rooftops, this is liquid gold for my skin, and has reversed my appearance by 20 years!",1/10/23,Amanda,True,0,0
I’m now a believer in this liquid gold!,5,"OK this is my favorite skin care product of all time, no exaggeration. I swear I look 10 years younger than I did 10 years ago. If you’re good at math and time, that’s like 20 years of reversing the age process! I probably only been using this regularly for three years, and most of the time I was only using it at night. But my skin tone, texture, fine lines, and everything are like a beautiful blur of glass skin now. Even my acne scars! I’m actually blown away by a skin care product. It’s super expensive but, so so worth it. I’m spending so much less on micro needling,  peels and lasers, and even Botox! Trust me, it is a money saver, an investment, and worth the confidence it has given me! ",1/10/23,Amanda,True,0,0
TNS,5,Love this stuff !! Been using it for only 2 weeks and can already see a difference.,1/7/23,Sheila,True,0,0
Saved my skin,5,"This serum has saved my skin. I use it at night before applying my prescription tretinoin, and it has made an enormous difference. My skin is rarely ultra dry, tight, and itchy, and it’s because of this serum. Although expensive, you only need a tiny amount so the bottle lasts for several weeks.",1/4/23,Nj,True,0,0
Fabulous,5,Simply one of the best products I’ve tried for silky smooth skin. ,1/1/23,Maryanne,True,0,0
Wonderful product!,5,I noticed almost immediate results with the TNS Serum. I was hesitant to buy it because of cost but it is worth the price & is going to be a constant in my skin care routine. I do recommend this to others. ,12/31/22,AB,True,0,0
The best!,5,Pricey but worth it! Consistency is the key!,12/31/22,Sharon,True,0,0
Greatness,5,"Initially, I was really on the fence about this product. After using it consistently thru a bottle, I decided it wasn’t worth the cost so I didn’t reorder….and THEN I saw that it was a necessity! My skin is smoother, bouncier, brighter, & has fewer imperfections when I use this. I’ve reordered multiple times since.",12/31/22,HRoberts,True,0,0
Excellent,4,Very good product and texture .  This product helps keep my skin youthful .  ,12/30/22,shaun,True,0,0
Overrated,2,This product is overrated. First off it never comes out at the same time to mix. Maybe a faulty bottle not sure,12/30/22,Brianna,True,0,0
Great product,5,Just started using this after reading great reviews. ,12/28/22,Katherine,True,0,0
Love this serum,5,I love the way my skin feels using this. I have been using it for about a year and my skin is in the best shape it’s ever been.  I will never be without it. ,12/28/22,Blondy,True,0,0
Actually works over time,5,"I feel like this is the only product that actually does anything for anti-aging. Retin A as well. If you use it once a day, your skin will look better, and twice a day will look much more radiant. It takes a few weeks to work. I use less than the suggested full pump and I still get a good result. Sometimes the bottle only dispenses one of the serums, in which case I put it aside in a small container for future use and keep pumping the bottle until both serums come out.",12/25/22,Joanne,True,0,0
Great product,4,I started using this produce three weeks ago.  Within days I saw results!   Ps I love that your only gender options are Male and Female just as God made us! ,12/22/22,Tari,True,3,17
The best,5,"I started using this in September and I can definitely see a noticeable difference in my skin already.I’m nearly 44 and want to age as well as possible- so far the couple small forehead and smile lines that had started to appear seem much softer and less noticeable than before I started using this serum. I’m very happy.  It’s expensive, but very very worth it, especially if you get the auto replenish discount. ",12/14/22,Lulululuuuu,True,2,0
The best,5,"This stuff really makes my skin feel replenished. It feels tighter, and more lifted. I don't think I'll stop using this stuff ever. It is expensive, but they do run 20% off deals on occasion. ",12/7/22,Melanie,True,0,0
TNS advanced + Serum,5,"This product is great for my ""mature"" skin!  Not heavy but very emollient!!",12/5/22,madelyn,True,0,0
TNS Advanced Serum,4,"Amazing product.  I have been recommended this product by the best by of the best plastic surgeons and dermatologists.  I work at a major hospital in DFW and this is product is unlike any other.  It is very expensive, so I stopped using.for maybe 4-6 months.    I noticed a significant change in my skin.   Definitely missed the healthy glow,  skin is more even and firm. I receive compliments often on my skin and docs asked if use TNS.they can tell.  Note:  I have been using Retina A 15 - 20 years also - sure it helps but still, when stopping the TNS, my skin didn’t seem as pretty. Wish it wasn’t so expensive.   ",12/4/22,Ellen Becker,True,2,0
The Best,5,I love love this ! It’s changed my skin super pricey but worth it ,12/4/22,Michelle,False,0,0
Fantastic product!,5,I’ve been using this about 3 weeks and I honestly feel like I can already tell a difference in my skin texture and tone. ,12/3/22,Ashley,True,0,0
Best serum,5,Love this serum. I have used others in the past . This one keeps my skin very hydrated and prevents flaking from retin A useage.,12/2/22,Lynn,True,0,0
Decent Serum,3,"I fully admit I bought this based on an influencer review.  It's a decent serum, but I have not noticed any dramatic changes in my skin.  For the price tag, I would expect visible improvements.",12/2/22,JJ,True,0,0
Better!,5,I love this improved formula.  I was a little worried when they changed the product - but this is a staple in my skincare routine. ,12/1/22,Jacquelyn,True,0,0
Amazing,5,"I’ve only been using TNS for a few weeks, but have noticed my skin looking better and better. I’m 45 and have been looking for something to replace the discontinued TMR. This definitely makes a difference in firmness and hoping to see diminished fine lines as time goes on. ",12/1/22,KT,True,0,0
TNS Advanced Plus Serum,5,This is the one product that I will always splurge on.  The original serum was recommended to me by a very well known Houston dermatologist.  The updated version is amazing.,12/1/22,CHRISTINE,True,0,0
Fountain of Youth,5,"This magic elixir is like the proverbial genie in a bottle. Fountain of Youth. Kindy spendy, but worth it. Everyone will ask (or assume) you've had Botox!",12/1/22,Bean,True,0,0
Skin Medica TNS Advanced Serum,5,"This serum is a wonderful addition to my skin care regime.  It is very  easy to apply,  It makes my skin feel silky and  smooth.",11/30/22,joan,True,0,0
Exceptional product,5,"I have used Skinmedica products for 20 plus years and they all have have been wonderful but this is exceptional. First of all not drying, or burning, but smooth silky. It make your face texture improve with each use. I highly recommend this product.",11/30/22,Janet,True,0,0
Silky smooth and effective!,5,"A tad pricey but the results will come if you stick with it.  This has helped with fine lines and wrinkles, and it doesn’t pill when layering with other products. ",11/28/22,Laura,True,1,0
Bring back the original formula,1,"As a Skinmedica enthusiast, I am so disappointed in this product. I tried this serum for 2 months straight and my skin was rough, and looked the worse that it's looked in years. I need the original TNS essential serum back- it's been a part of my morning and night time routine for years and my skin is suffering without it. Don't waste your money on the advanced serum. It's terrible. ",11/27/22,Alissa,True,4,0
Ultimate skincare product,5,Started using this two months ago every morning and noticed a huge difference in my skin texture! Will continue to use it for a long time! Highly recommend ,11/25/22,RG,True,1,0
Tns,5,Love how silky it feels and how I can see the back of my hands look better also.,11/16/22,Lorena,True,0,0
Average Quality,2,"I have been using this product for about a year, and I love it; however, when I purchased from this site, only one of the two dispensers work. It’s meant to dispense two products at the same time. I will most likely be canceling my subscription. ",11/14/22,Sandy,True,4,0
"Good product, way pricey",4,This product is effective but very expensive.   I have tried using it once a day instead of twice to make it last longer.   But I like the results of using twice daily. The price reduction for autoship ( 20%) keeps me buying it. ,11/9/22,Rebecca,True,0,0
Worth it!,5,This is such an amazing product and is definitely worth the investment.,11/6/22,Steph,True,0,0
Magic potion,5,I've been using this serum regularly for months now and have seen great results with my skin. It's more glowing and texture and wrinkles have improved. I only wish it didn't cost so much because I live it so much! :) Highly recommend.,11/1/22,Kristen,True,0,0
High quality serum,5,"Improved the texture, tone, and overall appearance of my skin. Overall a high quality serum.",10/19/22,Jasmine,True,0,0
Worth it!,5,This does what is promises. I started to feel a change in the texture of my skin within a few days and could start to see results within 2 weeks. Expensive but it does work.,10/19/22,Patricia,True,0,0
This is it!,5,This product is truly the best product I’ve used in a LONG TIME. My skin looks so much better after 2 weeks of use and it just keeps getting better! I recommend this product for anyone looking for something that improves the skins over all appearance!,10/15/22,Michele,True,0,0
skincredible :),5,so this right here is a new holy grail. I see results in the sagging as of my skin. I feel like when I’m good abt my routine and steadily using it I can see a difference in the tightness and the general health of my facial skin. Consistency is silky. Can be layered with other products without balling up and coming off. This stuff is game changer!,10/13/22,Sunny,True,1,0
Best product ever.,5,"I was recommended this product by a friend a few years older than me. I was looking for some thing non-surgical/non-invasive/not Botox. Yes I get Botox, yes I love it. But I was looking for some thing that I could use in my daily routine to amp it up a bit. Tried this product thought I liked it then went without it for a couple of months. Definitely noticed! As soon as I started using it in the daily rotation again I immediately started to see results. It just offers a glow that other products have not. I’m not entirely sure what it does but, I’ll keep using it! ",10/6/22,Casie,True,0,0
Love!!!,5,"I am placing my second order for this stuff! Yes...it is pricey, but I am 66 years old and have tried hundreds of potions to no avail. This works. At first I thought that this is no different than all the others, but after 4 weeks of twice a day use, then suddenly it kicked in and my skin has never looked better. My skin is clear and lifted. I will continue to use this product.",10/4/22,Tamara,True,1,0
Didn’t liked and could return it,1,"I didn’t liked this product from the very beginning, even though it was supposed to have less smell, the smell was too artificial and strong, it did absolutely nothing to my skin, and I didn’t like the way it feels on my skin. Terrible customer service Moreover I was charged again for this item when I clearly remember canceling my autopayment",10/1/22,Nilufar,True,1,1
Good product,5,I really like this serum; it goes on smooth and makes my skin feel moisturized and look a little smoother. Too bad it's so costly!,9/26/22,emily,True,0,0
SkinMedica TNS Advanced + Serum,5,I love this product and have been using it for years.,9/23/22,Talia,True,0,0
Life changing,5,"I can not believe how much this product has change my face and neck! I feel like I can go without any makeup. My face looks More youthful, even textured and toned, and it dramatically decreased the lines in my neck. Almost immediately upon using it, and I don’t even use it often! Never had Botox but now I feel like I’ll never need it!!!! ",9/14/22,Rachelle,True,0,0
